sep=,
"Time","w"
s,rad/s
1.3100000000000E+00,1.0975626213792E+03
1.3200000000000E+00,1.0983459562891E+03
1.3300000000000E+00,1.0991072915127E+03
1.3400000000000E+00,1.0998472449034E+03
1.3500000000000E+00,1.1005664169625E+03
1.3600000000000E+00,1.1012653913264E+03
1.3700000000000E+00,1.1019447352404E+03
1.3800000000000E+00,1.1026050000187E+03
1.3900000000000E+00,1.1032467214921E+03
1.4000000000000E+00,1.1038704204429E+03
1.4100000000000E+00,1.1044766030274E+03
1.4200000000000E+00,1.1050657611864E+03
1.4300000000000E+00,1.1056383730451E+03
1.4400000000000E+00,1.1061949033005E+03
1.4500000000000E+00,1.1067358035988E+03
1.4600000000000E+00,1.1072615129018E+03
1.4700000000000E+00,1.1077724578433E+03
1.4800000000000E+00,1.1082690530752E+03
1.4900000000000E+00,1.1087517016042E+03
1.5000000000000E+00,1.1092207951184E+03
1.5100000000000E+00,1.1096767143057E+03
1.5200000000000E+00,1.1101198291624E+03
1.5300000000000E+00,1.1105504992938E+03
1.5400000000000E+00,1.1109690742055E+03
1.5500000000000E+00,1.1113758935875E+03
1.5600000000000E+00,1.1117712875898E+03
1.5700000000000E+00,1.1121555770901E+03
1.5800000000000E+00,1.1125290739546E+03
1.5900000000000E+00,1.1128920812905E+03
1.6000000000000E+00,1.1132448936927E+03
1.6100000000000E+00,1.1135877974822E+03
1.6200000000000E+00,1.1139210709390E+03
1.6300000000000E+00,1.1142449845276E+03
1.6400000000000E+00,1.1145598011166E+03
1.6500000000000E+00,1.1148657761921E+03
1.6600000000000E+00,1.1151631580648E+03
1.6700000000000E+00,1.1154521880719E+03
1.6800000000000E+00,1.1157331007726E+03
1.6900000000000E+00,1.1160061241386E+03
1.7000000000000E+00,1.1162714797390E+03
1.7100000000000E+00,1.1165293829204E+03
1.7200000000000E+00,1.1167800429814E+03
1.7300000000000E+00,1.1170236633424E+03
1.7400000000000E+00,1.1172604417110E+03
1.7500000000000E+00,1.1174905702421E+03
1.7600000000000E+00,1.1177142356941E+03
1.7700000000000E+00,1.1179316195803E+03
1.7800000000000E+00,1.1181428983163E+03
1.7900000000000E+00,1.1183482433630E+03
1.8000000000000E+00,1.1185478213661E+03
1.8100000000000E+00,1.1187417942909E+03
1.8200000000000E+00,1.1189303195541E+03
1.8300000000000E+00,1.1191135501514E+03
1.8400000000000E+00,1.1192916347816E+03
1.8500000000000E+00,1.1194647179674E+03
1.8600000000000E+00,1.1196329401725E+03
