sep=,
"Time","w"
s,rad/s
1.2400000000000E+00,1.0907663523774E+03
1.2500000000000E+00,1.0912616787936E+03
1.2600000000000E+00,1.0917397583913E+03
1.2700000000000E+00,1.0922011916891E+03
1.2800000000000E+00,1.0926465582960E+03
1.2900000000000E+00,1.0930764176399E+03
1.3000000000000E+00,1.0934913096695E+03
1.3100000000000E+00,1.0938917555332E+03
1.3200000000000E+00,1.0942782582336E+03
1.3300000000000E+00,1.0946513032589E+03
1.3400000000000E+00,1.0950113591933E+03
1.3500000000000E+00,1.0953588783051E+03
1.3600000000000E+00,1.0956942971153E+03
1.3700000000000E+00,1.0960180369453E+03
1.3800000000000E+00,1.0963305044468E+03
1.3900000000000E+00,1.0966320921120E+03
1.4000000000000E+00,1.0969231787670E+03
1.4100000000000E+00,1.0972041300475E+03
1.4200000000000E+00,1.0974752988581E+03
1.4300000000000E+00,1.0977370258156E+03
1.4400000000000E+00,1.0979896396767E+03
1.4500000000000E+00,1.0982334577513E+03
1.4600000000000E+00,1.0984687863007E+03
1.4700000000000E+00,1.0986959209224E+03
1.4800000000000E+00,1.0989151469218E+03
1.4900000000000E+00,1.0991267396697E+03
1.5000000000000E+00,1.0993309649493E+03
1.5100000000000E+00,1.0995280792890E+03
1.5200000000000E+00,1.0997183302853E+03
1.5300000000000E+00,1.0999019569138E+03
1.5400000000000E+00,1.1000791898289E+03
1.5500000000000E+00,1.1002502516539E+03
1.5600000000000E+00,1.1004153572606E+03
1.5700000000000E+00,1.1005747140391E+03
1.5800000000000E+00,1.1007285221585E+03
1.5900000000000E+00,1.1008769748181E+03
1.6000000000000E+00,1.1010202584901E+03
1.6100000000000E+00,1.1011585531540E+03
1.6200000000000E+00,1.1012920325226E+03
1.6300000000000E+00,1.1014208642601E+03
1.6400000000000E+00,1.1015452101928E+03
1.6500000000000E+00,1.1016652265125E+03
1.6600000000000E+00,1.1017810639722E+03
1.6700000000000E+00,1.1018928680762E+03
1.6800000000000E+00,1.1020007792622E+03
1.6900000000000E+00,1.1021049330782E+03
1.7000000000000E+00,1.1022054603523E+03
1.7100000000000E+00,1.1023024873576E+03
1.7200000000000E+00,1.1023961359701E+03
1.7300000000000E+00,1.1024865238225E+03
1.7400000000000E+00,1.1025737644514E+03
1.7500000000000E+00,1.1026579674405E+03
1.7600000000000E+00,1.1027392385575E+03
1.7700000000000E+00,1.1028176798876E+03
1.7800000000000E+00,1.1028933899614E+03
1.7900000000000E+00,1.1029664638788E+03
1.8000000000000E+00,1.1030369934283E+03
1.8100000000000E+00,1.1031050672027E+03
1.8200000000000E+00,1.1031707707096E+03
1.8300000000000E+00,1.1032341864798E+03
1.8400000000000E+00,1.1032953941702E+03
1.8500000000000E+00,1.1033544706640E+03
1.8600000000000E+00,1.1034114901676E+03
1.8700000000000E+00,1.1034665243036E+03
