sep=,
"Time","w_meas"
s,rad/s
1.4000000000000E+00,1.1063203517123E+03
1.4100000000000E+00,1.1107148502289E+03
1.4200000000000E+00,1.1009570044449E+03
1.4300000000000E+00,1.0982858908434E+03
1.4400000000000E+00,1.0990647318979E+03
1.4500000000000E+00,1.1154610694923E+03
1.4600000000000E+00,1.1036701876503E+03
1.4700000000000E+00,1.1020564468466E+03
1.4800000000000E+00,1.1080229511845E+03
1.4900000000000E+00,1.1126661224100E+03
1.5000000000000E+00,1.1169682184620E+03
1.5100000000000E+00,1.1013958056697E+03
1.5200000000000E+00,1.1198219350171E+03
1.5300000000000E+00,1.1208546508530E+03
1.5400000000000E+00,1.1168670295753E+03
1.5500000000000E+00,1.1089132516676E+03
1.5600000000000E+00,1.1051537792441E+03
1.5700000000000E+00,1.1148964788259E+03
1.5800000000000E+00,1.1081506654013E+03
1.5900000000000E+00,1.1032077802713E+03
1.6000000000000E+00,1.1069409340575E+03
1.6100000000000E+00,1.1045816432348E+03
1.6200000000000E+00,1.1184610242162E+03
1.6300000000000E+00,1.1145173529053E+03
1.6400000000000E+00,1.1199585800255E+03
1.6500000000000E+00,1.1066013510338E+03
1.6600000000000E+00,1.1053565654546E+03
1.6700000000000E+00,1.1099797648184E+03
1.6800000000000E+00,1.1103404831021E+03
1.6900000000000E+00,1.1122241783862E+03
1.7000000000000E+00,1.1142639150201E+03
1.7100000000000E+00,1.1144648109267E+03
1.7200000000000E+00,1.1258439909125E+03
1.7300000000000E+00,1.1192634612906E+03
1.7400000000000E+00,1.1223249326837E+03
1.7500000000000E+00,1.1265368742600E+03
1.7600000000000E+00,1.1106864158711E+03
1.7700000000000E+00,1.1256537219375E+03
1.7800000000000E+00,1.1124163012046E+03
1.7900000000000E+00,1.1198878774686E+03
1.8000000000000E+00,1.1178451407451E+03
1.8100000000000E+00,1.1119233528639E+03
1.8200000000000E+00,1.1180016890570E+03
1.8300000000000E+00,1.1244600605142E+03
1.8400000000000E+00,1.1241372916246E+03
1.8500000000000E+00,1.1181053537467E+03
1.8600000000000E+00,1.1291153849896E+03
1.8700000000000E+00,1.1227495337945E+03
1.8800000000000E+00,1.1259618852969E+03
1.8900000000000E+00,1.1140440164605E+03
1.9000000000000E+00,1.1167011540893E+03
1.9100000000000E+00,1.1189660630560E+03
1.9200000000000E+00,1.1241149218777E+03
1.9300000000000E+00,1.1272930729621E+03
1.9400000000000E+00,1.1123064894623E+03
1.9500000000000E+00,1.1287816949868E+03
1.9600000000000E+00,1.1204861410937E+03
1.9700000000000E+00,1.1107605180799E+03
1.9800000000000E+00,1.1176149252844E+03
1.9900000000000E+00,1.1232965474095E+03
2.0000000000000E+00,1.1279665301184E+03
